,price,origin_id,destination_id,outbound_date,inbound_date,currency,origin_city_name,origin_country_name,destination_city_name,destination_country_name,direct,carrier_name,carrier_id,skyscanner_code,date_collected
0,104.0,PMI,LON,2017-05-01T00:00:00,2017-05-01T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
1,268.0,PMI,LON,2017-05-01T00:00:00,2017-05-01T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
2,55.0,PMI,LON,2017-05-01T00:00:00,2017-05-01T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
3,286.0,PMI,LON,2017-05-01T00:00:00,2017-05-01T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
4,102.0,PMI,LON,2017-05-01T00:00:00,2017-05-01T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
5,145.0,PMI,LON,2017-05-01T00:00:00,2017-05-01T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
6,19.0,PMI,LON,2017-05-02T00:00:00,2017-05-02T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
7,131.0,PMI,LON,2017-05-02T00:00:00,2017-05-02T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
8,18.0,PMI,LON,2017-05-02T00:00:00,2017-05-02T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
9,149.0,PMI,LON,2017-05-02T00:00:00,2017-05-02T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
10,39.0,PMI,LON,2017-05-02T00:00:00,2017-05-02T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
11,48.0,PMI,LON,2017-05-02T00:00:00,2017-05-02T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
12,21.0,PMI,LON,2017-05-03T00:00:00,2017-05-03T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
13,58.0,PMI,LON,2017-05-03T00:00:00,2017-05-03T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
14,21.0,PMI,LON,2017-05-03T00:00:00,2017-05-03T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
15,24.0,PMI,LON,2017-05-03T00:00:00,2017-05-03T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
16,36.0,PMI,LON,2017-05-03T00:00:00,2017-05-03T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
17,24.0,PMI,LON,2017-05-04T00:00:00,2017-05-04T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
18,102.0,PMI,LON,2017-05-04T00:00:00,2017-05-04T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
19,18.0,PMI,LON,2017-05-04T00:00:00,2017-05-04T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
20,22.0,PMI,LON,2017-05-04T00:00:00,2017-05-04T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
21,34.0,PMI,LON,2017-05-04T00:00:00,2017-05-04T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
22,18.0,PMI,LON,2017-05-05T00:00:00,2017-05-05T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
23,62.0,PMI,LON,2017-05-05T00:00:00,2017-05-05T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
24,21.0,PMI,LON,2017-05-05T00:00:00,2017-05-05T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
25,62.0,PMI,LON,2017-05-05T00:00:00,2017-05-05T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
26,34.0,PMI,LON,2017-05-05T00:00:00,2017-05-05T00:00:00,USD,London,United Kingdom,London,United Kingdom,1,Thomson Airways,6,LGW,2017-04-05 16:48:35.180079
