Date1,Date2,Dest_Name,Origin_Name,Price,QueryID,Seq,Total_Price,TripID
2017-05-10,2017-05-11,Barcelona,Atlanta,382.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",0,804.0,0
2017-05-19,2017-05-20,Amsterdam,Barcelona,56.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",1,804.0,0
2017-05-30,2017-05-31,Atlanta,Amsterdam,366.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",2,804.0,0
2017-05-03,2017-05-04,Barcelona,Atlanta,394.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",0,814.0,1
2017-05-12,2017-05-13,Amsterdam,Barcelona,64.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",1,814.0,1
2017-05-23,2017-05-24,Atlanta,Amsterdam,356.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",2,814.0,1
2017-05-09,2017-05-10,Barcelona,Atlanta,324.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",0,836.0,2
2017-05-18,2017-05-19,Amsterdam,Barcelona,38.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",1,836.0,2
2017-05-29,2017-05-30,Atlanta,Amsterdam,474.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",2,836.0,2
2017-05-01,2017-05-02,Amsterdam,Atlanta,422.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",0,915.0,3
2017-05-10,2017-05-11,Barcelona,Amsterdam,42.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",1,915.0,3
2017-05-21,2017-05-22,Atlanta,Barcelona,451.0,"Atlanta, Amsterdam, Barcelona, 2017-05-01, 2017-05-31, 2, 21",2,915.0,3
2017-05-03,2017-05-04,Berlin,Atlanta,426.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",0,860.0,0
2017-05-12,2017-05-13,Amsterdam,Berlin,78.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",1,860.0,0
2017-05-23,2017-05-24,Atlanta,Amsterdam,356.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",2,860.0,0
2017-05-10,2017-05-11,Berlin,Atlanta,423.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",0,886.0,1
2017-05-19,2017-05-20,Amsterdam,Berlin,97.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",1,886.0,1
2017-05-30,2017-05-31,Atlanta,Amsterdam,366.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",2,886.0,1
2017-05-09,2017-05-10,Berlin,Atlanta,419.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",0,978.0,2
2017-05-18,2017-05-19,Amsterdam,Berlin,85.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",1,978.0,2
2017-05-29,2017-05-30,Atlanta,Amsterdam,474.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",2,978.0,2
2017-05-01,2017-05-02,Amsterdam,Atlanta,422.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",0,1041.0,3
2017-05-10,2017-05-11,Berlin,Amsterdam,56.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",1,1041.0,3
2017-05-21,2017-05-22,Atlanta,Berlin,563.0,"Atlanta, Amsterdam, Berlin, 2017-05-01, 2017-05-31, 2, 21",2,1041.0,3
2017-05-03,2017-05-04,Copenhagen,Atlanta,468.0,"Atlanta, Amsterdam, Copenhagen, 2017-05-01, 2017-05-31, 2, 21",0,873.0,0
2017-05-14,2017-05-15,Amsterdam,Copenhagen,49.0,"Atlanta, Amsterdam, Copenhagen, 2017-05-01, 2017-05-31, 2, 21",1,873.0,0
2017-05-23,2017-05-24,Atlanta,Amsterdam,356.0,"Atlanta, Amsterdam, Copenhagen, 2017-05-01, 2017-05-31, 2, 21",2,873.0,0
2017-05-10,2017-05-11,Copenhagen,Atlanta,468.0,"Atlanta, Amsterdam, Copenhagen, 2017-05-01, 2017-05-31, 2, 21",0,884.0,1
2017-05-21,2017-05-22,Amsterdam,Copenhagen,50.0,"Atlanta, Amsterdam, Copenhagen, 2017-05-01, 2017-05-31, 2, 21",1,884.0,1
