Date1,Date2,Dest_Name,Origin_Name,Price,Seq,Total_Price,TripID
2017-05-05,2017-05-06,Barcelona,Atlanta,290.0,0,593.0,0
2017-05-10,2017-05-11,Palma,Barcelona,27.0,1,593.0,0
2017-05-13,2017-05-14,London,Palma,18.0,2,593.0,0
2017-05-18,2017-05-19,Orlando,London,224.0,3,593.0,0
2017-05-24,2017-05-25,Atlanta,Orlando,34.0,4,593.0,0
2017-05-02,2017-05-03,Barcelona,Atlanta,331.0,0,640.0,1
2017-05-10,2017-05-11,Palma,Barcelona,27.0,1,640.0,1
2017-05-13,2017-05-14,London,Palma,18.0,2,640.0,1
2017-05-18,2017-05-19,Orlando,London,224.0,3,640.0,1
2017-05-21,2017-05-22,Atlanta,Orlando,40.0,4,640.0,1
2017-05-09,2017-05-10,Barcelona,Atlanta,324.0,0,671.0,2
2017-05-12,2017-05-13,Palma,Barcelona,27.0,1,671.0,2
2017-05-15,2017-05-16,London,Palma,42.0,2,671.0,2
2017-05-18,2017-05-19,Orlando,London,224.0,3,671.0,2
2017-05-28,2017-05-29,Atlanta,Orlando,54.0,4,671.0,2
2017-05-01,2017-05-02,London,Atlanta,363.0,0,698.0,3
2017-05-06,2017-05-07,Palma,London,32.0,1,698.0,3
2017-05-10,2017-05-11,Barcelona,Palma,16.0,2,698.0,3
2017-05-17,2017-05-18,Orlando,Barcelona,253.0,3,698.0,3
2017-05-20,2017-05-21,Atlanta,Orlando,34.0,4,698.0,3
